t,true_pos,true_vel,meas_pos,est_pos,est_vel
0.000000,0.002500,0.050000,2.248090,1.611043,0.209262
0.100000,0.010000,0.100000,0.615610,1.196051,0.074014
0.200000,0.022500,0.150000,0.164218,0.862943,-0.172415
0.300000,0.040000,0.200000,0.186083,0.655932,-0.364343
0.400000,0.062500,0.250000,-2.782152,-0.323600,-1.732743
0.500000,0.090000,0.300000,3.130139,0.503417,-0.095759
0.600000,0.122500,0.350000,-0.460288,0.233442,-0.461231
0.700000,0.160000,0.400000,-0.106181,0.109063,-0.533779
0.800000,0.202500,0.450000,-0.143639,0.004026,-0.561374
0.900000,0.250000,0.500000,-3.273303,-0.893088,-1.643717
1.000000,0.302500,0.550000,0.127154,-0.755445,-1.217898
1.100000,0.360000,0.600000,3.093759,0.094274,-0.031281
1.200000,0.422500,0.650000,2.673128,0.698743,0.683245
1.300000,0.490000,0.700000,-0.227991,0.545158,0.501986
1.400000,0.562500,0.750000,3.003716,1.116441,1.054725
1.500000,0.640000,0.800000,-2.038991,0.550514,0.488535
1.600000,0.722500,0.850000,1.579247,0.795283,0.705768
1.700000,0.810000,0.900000,0.563074,0.810430,0.708287
1.800000,0.902500,0.950000,3.731254,1.402300,1.162114
1.900000,1.000000,1.000000,0.751899,1.386475,1.112343
2.000000,1.102500,1.050000,5.118814,2.108840,1.593037
2.100000,1.210000,1.100000,1.669773,2.173367,1.577224
2.200000,1.322500,1.150000,2.532287,2.364584,1.647309
2.300000,1.440000,1.200000,4.694320,2.857189,1.899581
2.400000,1.562500,1.250000,4.751621,3.296903,2.097277
2.500000,1.690000,1.300000,2.150868,3.318419,2.037654
2.600000,1.822500,1.350000,1.692679,3.275836,1.949820
2.700000,1.960000,1.400000,0.022040,3.019368,1.757227
2.800000,2.102500,1.450000,3.284986,3.208732,1.812978
2.900000,2.250000,1.500000,0.684449,3.057663,1.695803
3.000000,2.402500,1.550000,1.514034,3.023782,1.646262
3.100000,2.560000,1.600000,1.869628,3.036806,1.624089
3.200000,2.722500,1.650000,0.958899,2.947381,1.558550
3.300000,2.890000,1.700000,2.004694,2.984251,1.554971
3.400000,3.062500,1.750000,1.980667,3.017459,1.551496
3.500000,3.240000,1.800000,0.593545,2.904899,1.488899
3.600000,3.422500,1.850000,3.196902,3.070637,1.544717
3.700000,3.610000,1.900000,5.424692,3.446312,1.681085
3.800000,3.802500,1.950000,5.433040,3.793373,1.798990
3.900000,4.000000,2.000000,4.458196,4.021546,1.866168
4.000000,4.202500,2.050000,2.150142,4.019625,1.846217
4.100000,4.410000,2.100000,5.365051,4.311733,1.933748
4.200000,4.622500,2.150000,7.207896,4.746991,2.067346
4.300000,4.840000,2.200000,3.377084,4.819237,2.070589
4.400000,5.062500,2.250000,1.851695,4.758978,2.030531
4.500000,5.290000,2.300000,7.268952,5.156206,2.143122
4.600000,5.522500,2.350000,5.744129,5.403263,2.202790
4.700000,5.760000,2.400000,4.998137,5.575882,2.237089
4.800000,6.002500,2.450000,6.232418,5.835800,2.297426
4.900000,6.250000,2.500000,6.940625,6.135093,2.367578
5.000000,6.502500,2.550000,3.032583,6.122366,2.343321
5.100000,6.760000,2.600000,10.076702,6.634369,2.472860
5.200000,7.022500,2.650000,11.622043,7.228533,2.620536
5.300000,7.290000,2.700000,6.347730,7.411310,2.647769
5.400000,7.562500,2.750000,10.087931,7.847616,2.743978
5.500000,7.840000,2.800000,5.498969,7.943468,2.745362
5.600000,8.122500,2.850000,10.254078,8.358371,2.831738
5.700000,8.410000,2.900000,7.010125,8.535105,2.853486
5.800000,8.702500,2.950000,8.990658,8.833954,2.906291
5.900000,9.000000,3.000000,9.797084,9.170324,2.967134
6.000000,9.302500,3.050000,9.356238,9.462340,3.015358
6.100000,9.610000,3.100000,11.721674,9.888652,3.095040
6.200000,9.922500,3.150000,9.776133,10.174514,3.138794
6.300000,10.240000,3.200000,8.908559,10.394918,3.166217
6.400000,10.562500,3.250000,10.474275,10.699712,3.212899
6.500000,10.890000,3.300000,10.163466,10.972860,3.251343
6.600000,11.222500,3.350000,11.197810,11.294535,3.300003
6.700000,11.560000,3.400000,11.644243,11.628020,3.350221
6.800000,11.902500,3.450000,15.821092,12.183049,3.447722
6.900000,12.250000,3.500000,11.853149,12.492646,3.489610
7.000000,12.602500,3.550000,13.263569,12.867127,3.544498
7.100000,12.960000,3.600000,10.088343,13.054292,3.558941
7.200000,13.322500,3.650000,13.377557,13.410809,3.608553
7.300000,13.690000,3.700000,15.931209,13.887911,3.681741
7.400000,14.062500,3.750000,13.614422,14.225054,3.724995
7.500000,14.440000,3.800000,13.599633,14.548639,3.764784
7.600000,14.822500,3.850000,16.822159,15.023763,3.833636
7.700000,15.210000,3.900000,16.072068,15.442828,3.890064
7.800000,15.602500,3.950000,14.300674,15.758406,3.925545
7.900000,16.000000,4.000000,13.002519,15.999344,3.946434
8.000000,16.402500,4.050000,13.941230,16.277829,3.974291
8.100000,16.810000,4.100000,17.198014,16.702605,4.028873
8.200000,17.222500,4.150000,15.225735,17.019141,4.062680
8.300000,17.640000,4.200000,16.904725,17.403496,4.108282
8.400000,18.062500,4.250000,21.536899,17.988443,4.188845
8.500000,18.490000,4.300000,19.677225,18.467642,4.249025
8.600000,18.922500,4.350000,17.837773,18.847350,4.290720
8.700000,19.360000,4.400000,15.920655,19.129086,4.314916
8.800000,19.802500,4.450000,18.644682,19.522545,4.358011
8.900000,20.250000,4.500000,23.103897,20.098078,4.431139
9.000000,20.702500,4.550000,21.256494,20.574485,4.486274
9.100000,21.160000,4.600000,22.739334,21.098872,4.548364
9.200000,21.622500,4.650000,22.266648,21.586265,4.603273
9.300000,22.090000,4.700000,23.490785,22.109462,4.663033
9.400000,22.562500,4.750000,23.339933,22.609837,4.718086
9.500000,23.040000,4.800000,22.957472,23.078947,4.767262
9.600000,23.522500,4.850000,24.114269,23.580768,4.820808
9.700000,24.010000,4.900000,23.159440,24.028901,4.865144
9.800000,24.502500,4.950000,27.957778,24.654972,4.936240
9.900000,25.000000,5.000000,23.263295,25.076600,4.974881
10.000000,25.502500,5.050000,23.860545,25.509511,5.014749
10.100000,26.010000,5.100000,23.810516,25.928183,5.051981
10.200000,26.522500,5.150000,26.695960,26.445858,5.103461
10.300000,27.040000,5.200000,27.952574,26.996482,5.159014
10.400000,27.562500,5.250000,28.424567,27.549147,5.214005
10.500000,28.090000,5.300000,32.235147,28.228405,5.286442
10.600000,28.622500,5.350000,27.546930,28.714688,5.330019
10.700000,29.160000,5.400000,26.403140,29.145792,5.365200
10.800000,29.702500,5.450000,28.717692,29.649658,5.410251
10.900000,30.250000,5.500000,34.905476,30.362994,5.483955
11.000000,30.802500,5.550000,34.411308,31.038844,5.551254
11.100000,31.360000,5.600000,30.861157,31.570421,5.597677
11.200000,31.922500,5.650000,30.280772,32.067632,5.638815
11.300000,32.490000,5.700000,29.503320,32.524947,5.674075
11.400000,33.062500,5.750000,34.110852,33.129959,5.728783
11.500000,33.640000,5.800000,34.330226,33.726753,5.781632
11.600000,34.222500,5.850000,35.671249,34.353781,5.837754
11.700000,34.810000,5.900000,30.729238,34.798047,5.869144
11.800000,35.402500,5.950000,33.242944,35.315708,5.909811
11.900000,36.000000,6.000000,34.613151,35.866164,5.954255
